Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
http://prox4you.info/,200,10.18.0.1,['108.59.12.98'],[200],"['10.0.0.138', '58.162.26.77', '203.50.61.64', '203.50.13.144', '203.50.6.93', '203.50.13.98', '203.50.61.65', '202.84.247.45', '203.50.13.98', '134.159.61.98', '202.84.247.45', '202.84.247.41']",12,[],[],['108.59.12.98'],['5.79.79.212'],[],[],"[""HTTPConnectionPool(host='108.59.12.98'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x05913F70>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))""]",[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],['False'],['False']
https://unblocked.to/,HTTPSConnectionPool(host='unblocked.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.64', '203.50.11.177', '139.130.6.102', '61.9.172.4', '203.50.61.65', '101.167.164.53']",8,[],[],['69.16.230.227'],['69.16.230.227'],[],[],"[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]",N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://prostylex.org/,HTTPSConnectionPool(host='prostylex.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.11.177', '139.130.6.102', '203.50.61.65', '203.50.61.64', '61.9.172.4', '101.167.164.53']",8,[],[],"['172.67.139.9', '104.21.40.216']","['104.21.40.216', '172.67.139.9']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://torrents.io,HTTPSConnectionPool(host='torrents.io'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.65', '203.50.61.64', '58.162.26.77', '203.50.11.177', '139.130.6.102', '61.9.172.4', '101.167.164.53']",8,[],[],[],[],[],[],[],[],N/A,[],[],[],[],N/A,[],[],[],[],"['False', 'False']","['False', 'False']"
https://katcr.co/,200,10.18.0.1,['172.96.191.192'],[200],"['10.0.0.138', '203.50.61.67', '203.50.61.66', '203.50.61.80', '58.162.26.77', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.9.2', '203.50.6.235', '202.84.224.190', '172.96.190.10', '210.176.138.38', '23.106.255.201', '23.106.255.7', '172.96.191.192']",16,[],[],['172.96.191.192'],['172.96.191.192'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],['False'],['False']
https://kikass.to/,HTTPSConnectionPool(host='kikass.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.11.95', '203.50.61.80', '61.9.173.4', '139.130.34.250', '101.167.166.53', '58.162.26.77']",8,[],[],"['172.67.167.42', '104.21.35.10']","['104.21.35.10', '172.67.167.42']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://kat.sx/,HTTPSConnectionPool(host='kat.sx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]",[],0,[],[],"['104.31.16.11', '104.31.16.118']","['104.31.16.11', '104.31.16.118']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://kickass.sx/,HTTPSConnectionPool(host='kickass.sx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '58.162.26.77', '203.50.61.80', '139.130.34.250', '61.9.173.4', '101.167.166.53']",7,[],[],"['172.67.198.201', '104.21.13.75']","['104.21.13.75', '172.67.198.201']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://kickass1.to/,HTTPSConnectionPool(host='kickass1.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.80', '61.9.173.4', '139.130.34.250', '101.167.166.53', '203.50.61.81']",7,[],[],['103.224.182.253'],['103.224.182.253'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://kat.ag,HTTPSConnectionPool(host='kat.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '61.9.173.4', '139.130.34.250', '58.162.26.77']",6,[],[],['81.171.28.45'],['82.192.82.226'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
